algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.3885,0.32675,6.15,7.65,13.3,1.45,1.5,7.65
randomForest,0,0,10,0.06875,0.056,0.8,1.1,13.3,1.45,0.3,1.1
0.0,0.6,0.0,10,0.0,0.0,0.0,0,13.3,1.45,0,0
0.1,0.6,0.1,10,0.016,0.016,0.4,0.5,13.3,1.45,0.1,0.5
0.2,0.6,0.2,10,0.24425,0.2285,3.55,4.35,13.3,1.45,0.8,4.35
uniform,0,0,20,0.403083333333,0.253333333333,13.75,17.15,31.7,2.4,3.4,17.15
randomForest,0,0,20,0.1925,0.15175,4.75,6.15,31.7,2.4,1.4,6.15
0.0,0.6,0.0,20,0.0,0.0,0.0,0,31.7,2.4,0,0
0.1,0.6,0.1,20,0.261833333333,0.179333333333,5.5,6.9,31.7,2.4,1.4,6.9
0.2,0.6,0.2,20,0.34425,0.260083333333,8.65,10.85,31.7,2.4,2.2,10.85
uniform,0,0,30,0.323,0.186083333333,17.45,20.45,46.25,2.75,3.0,20.45
randomForest,0,0,30,0.141083333333,0.102333333333,8.8,10.2,46.25,2.75,1.4,10.2
0.0,0.6,0.0,30,0.0,0.0,0.0,0,46.25,2.75,0,0
0.1,0.6,0.1,30,0.2515,0.192,9.9,11.5,46.25,2.75,1.6,11.5
0.2,0.6,0.2,30,0.297083333333,0.202166666667,12.95,15.15,46.25,2.75,2.2,15.15
uniform,0,0,40,0.290166666667,0.167533333333,16.95,21.15,48.8,2.75,4.2,21.15
randomForest,0,0,40,0.145666666667,0.0990666666667,9.4,11.5,48.8,2.75,2.1,11.5
0.0,0.6,0.0,40,0.0,0.0,0.0,0,48.8,2.75,0,0
0.1,0.6,0.1,40,0.234833333333,0.17075,10.2,12.6,48.8,2.75,2.4,12.6
0.2,0.6,0.2,40,0.348416666667,0.236616666667,15.75,19.65,48.8,2.75,3.9,19.65
