algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.18075,0.1615,0.6,1.7,13.3,1.45,0.45,1.7
randomForest,0,0,10,0.5475,0.424,0.75,8.25,13.3,1.45,1.65,8.25
0.0,0.6,0.0,10,0.9105,0.70275,0.0,9.35,13.3,1.45,1.95,9.35
0.1,0.6,0.1,10,0.746,0.57625,2.15,8.85,13.3,1.45,1.85,8.85
0.2,0.6,0.2,10,0.46025,0.38825,1.8,5.0,13.3,1.45,1.15,5.0
uniform,0,0,20,0.120083333333,0.08175,0.45,2.25,31.7,2.4,0.6,2.25
randomForest,0,0,20,0.3875,0.222416666667,1.25,12.2,31.7,2.4,2.4,12.2
0.0,0.6,0.0,20,0.924,0.567166666667,1.85,19.4,31.7,2.4,4.0,19.4
0.1,0.6,0.1,20,0.5085,0.336458333333,2.1,12.5,31.7,2.4,2.6,12.5
0.2,0.6,0.2,20,0.335666666667,0.189791666667,2.45,8.55,31.7,2.4,1.8,8.55
uniform,0,0,30,0.1665,0.0814166666667,1.85,7.4,46.25,2.75,1.0,7.4
randomForest,0,0,30,0.343,0.155383333333,2.25,17.65,46.25,2.75,2.6,17.65
0.0,0.6,0.0,30,0.900583333333,0.476891666667,1.9,27.85,46.25,2.75,4.0,27.85
0.1,0.6,0.1,30,0.457666666667,0.228933333333,2.25,16.35,46.25,2.75,2.4,16.35
0.2,0.6,0.2,30,0.330083333333,0.158666666667,2.85,12.7,46.25,2.75,1.8,12.7
uniform,0,0,40,0.170416666667,0.0830833333333,1.5,8.95,48.8,2.75,1.8,8.95
randomForest,0,0,40,0.36825,0.173225,1.65,18.6,48.8,2.75,3.9,18.6
0.0,0.6,0.0,40,0.856,0.491116666667,1.15,30.1,48.8,2.75,6.0,30.1
0.1,0.6,0.1,40,0.472166666667,0.250316666667,2.05,17.5,48.8,2.75,3.6,17.5
0.2,0.6,0.2,40,0.267083333333,0.135883333333,1.65,10.45,48.8,2.75,2.1,10.45
