1,3,P,0.57
0,3,6,P,0.12
1,10,P,0.05
1,4,P,0.03
0,3,25,P,0.03
0,20,3,P,0.03
22,3,P,0.02
1,9,P,0.02
1,29,P,0.02
1,7,P,0.01
1,5,P,0.01
1,28,P,0.01
0,3,14,P,0.01
0,3,13,P,0.01
0,18,3,P,0.01
0,17,3,P,0.01
0,11,3,P,0.01
0,10,6,P,0.01
0,19,3,P,0.0
