0,P,0.72
2,9,P,0.07
7,9,P,0.05
7,8,P,0.04
2,8,1,P,0.04
6,P,0.03
7,5,P,0.01
2,5,1,P,0.01
10,9,P,0.01
10,8,1,P,0.01
11,8,1,P,0.0
