algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.165625,0.14375,0.5625,1.8125,14.1875,1.5,0.4375,1.8125
randomForest,0,0,10,0.5609375,0.457604166667,0.875,7.25,14.1875,1.5,1.5625,7.25
0.0,0.6,0.0,10,0.9046875,0.695208333333,0.375,9.25,14.1875,1.5,1.9375,9.25
0.1,0.6,0.1,10,0.548229166667,0.469270833333,2.125,5.875,14.1875,1.5,1.3125,5.875
0.2,0.6,0.2,10,0.2621875,0.23875,0.875,2.1875,14.1875,1.5,0.5625,2.1875
uniform,0,0,20,0.1228125,0.07875,1.0,3.3125,33.125,2.0,0.75,3.3125
randomForest,0,0,20,0.427291666667,0.296979166667,1.0,10.9375,33.125,2.0,2.5,10.9375
0.0,0.6,0.0,20,0.9025,0.639375,0.1875,18.625,33.125,2.0,4.0,18.625
0.1,0.6,0.1,20,0.3946875,0.293229166667,1.25,8.625,33.125,2.0,2.0,8.625
0.2,0.6,0.2,20,0.190104166667,0.12125,1.125,5.0625,33.125,2.0,1.0,5.0625
uniform,0,0,30,0.04375,0.021875,0.3125,1.9375,58.1875,2.0625,0.25,1.9375
randomForest,0,0,30,0.393020833333,0.268958333333,1.25,14.5,58.1875,2.0625,2.25,14.5
0.0,0.6,0.0,30,0.860625,0.586770833333,0.0,27.3125,58.1875,2.0625,4.0,27.3125
0.1,0.6,0.1,30,0.45125,0.305520833333,3.625,17.375,58.1875,2.0625,2.5,17.375
0.2,0.6,0.2,30,0.1625,0.1121875,1.6875,7.75,58.1875,2.0625,1.0,7.75
uniform,0,0,40,0.0,0.0,0.0,0,63.625,2.0625,0,0
randomForest,0,0,40,0.29625,0.218854166667,0.6875,14.5,63.625,2.0625,2.9375,14.5
0.0,0.6,0.0,40,0.861875,0.738958333333,0.6875,31.375,63.625,2.0625,5.875,31.375
0.1,0.6,0.1,40,0.395208333333,0.324583333333,3.5,17.9375,63.625,2.0625,3.375,17.9375
0.2,0.6,0.2,40,0.0729166666667,0.0673958333333,0.9375,4.5625,63.625,2.0625,0.75,4.5625
