algorithm,pBug,pValid,times,index,precision,recall,auc,wasted,tests,files,bugged,bugsIDS,pack
Sanity,0.6,0.0,10,14,0.763888888889,1,0.988182524717,0.332677137235,8,12,3,5,"""['src\\ooxml\\java\\org'"
Sanity,0.6,0.0,10,15,1.0,0,0.995107632331,0.995107632331,11,16,1,5,"""['src\\java\\org\\apache\\poi\\hssf'"
Sanity,0.6,0.1,10,0,1.0,0,0.851710172164,0.851710172164,11,29,2,5,"""['src\\ooxml\\testcases\\org\\apache\\poi\\xslf'"
Sanity,0.6,0.1,10,1,1.0,0,0.849813441455,0.849813441455,8,18,1,5,"""['src\\java\\org\\apache\\poi\\poifs'"
Sanity,0.6,0.1,10,2,1.0,1,0.928823754133,0.494383989006,10,23,2,5,"""['src\\ooxml\\java\\org\\apache\\poi\\xwpf'"
Sanity,0.6,0.1,10,3,1.0,0,0.911762159143,0.911762159143,9,12,1,5,"""['src\\testcases\\org\\apache\\poi\\ss\\formula\\functions'"
Sanity,0.6,0.1,10,4,1.0,0,0.971209141274,0.971209141274,9,7,1,5,"""['src\\scratchpad\\src\\org\\apache\\poi\\hdgf'"
Sanity,0.6,0.1,10,5,1.0,0,0.436416091621,0.436416091621,11,8,1,5,"""['src\\java\\org\\apache\\poi\\ss'"
Sanity,0.6,0.1,10,6,0.666666666667,2,0.418913146128,0.275847825448,11,10,2,5,"""['src\\ooxml\\java\\org'"
Sanity,0.6,0.1,10,7,1.0,0,0.845611481242,0.845611481242,11,21,1,5,"""['src\\ooxml\\java\\org\\apache\\poi\\xssf\\usermodel'"
Sanity,0.6,0.1,10,8,1.0,0,0.71883166099,0.71883166099,11,17,2,5,"""['src\\ooxml\\java\\org\\apache\\poi\\xssf\\usermodel'"
Sanity,0.6,0.1,10,9,1.0,0,1.0,1.0,1,1,1,4,"""['src\\java\\org\\apache\\poi\\hssf\\record\\cf'"
Sanity,0.6,0.1,10,10,1.0,0,0.738178607195,0.738178607195,11,10,2,5,"""['src\\scratchpad\\src\\org'"
Sanity,0.6,0.1,10,11,1.0,0,0.918275783927,0.918275783927,8,12,1,5,"""['src\\java\\org\\apache\\poi\\hssf\\record\\aggregates'"
Sanity,0.6,0.1,10,12,1.0,0,0.272571620592,0.272571620592,10,22,1,5,"""['src\\scratchpad\\src\\org\\apache\\poi\\hdgf\\chunks'"
Sanity,0.6,0.1,10,13,1.0,1,0.897112951393,0.479676676211,8,9,2,5,"""['src\\scratchpad\\src\\org'"
Sanity,0.6,0.1,10,14,0.763888888889,1,0.838980535114,0.309298919207,8,12,3,5,"""['src\\ooxml\\java\\org'"
Sanity,0.6,0.1,10,15,1.0,0,0.849332289625,0.849332289625,11,16,1,5,"""['src\\java\\org\\apache\\poi\\hssf'"
Sanity,0.6,0.2,10,0,1.0,0,0.768064051912,0.768064051912,11,29,2,5,"""['src\\ooxml\\testcases\\org\\apache\\poi\\xslf'"
Sanity,0.6,0.2,10,1,1.0,0,0.692395061429,0.692395061429,8,18,1,5,"""['src\\java\\org\\apache\\poi\\poifs'"
Sanity,0.6,0.2,10,2,1.0,1,0.878590178627,0.49042041508,10,23,2,5,"""['src\\ooxml\\java\\org\\apache\\poi\\xwpf'"
Sanity,0.6,0.2,10,3,1.0,0,0.814389357694,0.814389357694,9,12,1,5,"""['src\\testcases\\org\\apache\\poi\\ss\\formula\\functions'"
Sanity,0.6,0.2,10,4,1.0,0,0.911388837768,0.911388837768,9,7,1,5,"""['src\\scratchpad\\src\\org\\apache\\poi\\hdgf'"
Sanity,0.6,0.2,10,5,0.75,1,0.288568372395,0.288568372395,11,8,1,5,"""['src\\java\\org\\apache\\poi\\ss'"
Sanity,0.6,0.2,10,6,0.583333333333,2,0.318318021116,0.233925506359,11,10,2,5,"""['src\\ooxml\\java\\org'"
