1,P,0.24514505436542075
7,23,P,0.16803823045554625
2,7,P,0.16803823044000984
0,7,P,0.12202733397980933
7,22,P,0.042009557608864316
7,18,P,0.042009557608864316
7,26,P,0.04200955759701396
24,P,0.02765429090466391
7,25,P,0.024894552659712355
7,27,P,0.024894552659712344
7,21,P,0.024894552659712334
7,30,P,0.017722781963900713
7,31,P,0.013765691837747637
7,29,P,0.011255132638702897
7,28,P,0.009519832820060524
7,15,P,0.0095198328023683
7,32,P,0.003015753051644005
9,P,9.387721589797952E-4
8,P,9.387721589797952E-4
12,P,7.133275309340939E-4
11,P,5.547273661421511E-4
13,P,4.39904731210399E-4
