0,P,0.9997989655708087
36,P,1.375625244498784E-4
12,P,1.2111266263457688E-5
34,P,7.895282724612556E-6
31,P,7.895282724612556E-6
39,P,5.367126039586742E-6
20,P,5.367126039586742E-6
22,P,3.7759851046864026E-6
6,P,2.7338423538858387E-6
8,42,P,2.48774913680839E-6
1,P,2.0280471457610283E-6
14,41,42,P,1.6390147051021367E-6
58,P,1.5362244475876762E-6
4,P,1.5362244475876762E-6
9,P,9.286953098083897E-7
15,P,7.381423218956778E-7
3,P,5.940837122103626E-7
11,P,5.940837122103626E-7
57,P,4.835359930257829E-7
5,P,4.835359930257829E-7
2,P,4.835359930257829E-7
14,29,42,P,4.0975367752196634E-7
14,38,42,P,4.097536774894758E-7
14,42,48,P,4.0975367748813654E-7
14,42,56,P,4.0975367748801525E-7
14,42,55,P,4.097536689322159E-7
14,42,49,P,2.4281699401095627E-7
14,42,45,P,2.428169939086124E-7
14,42,53,P,2.4281699344413E-7
14,25,42,P,1.7286483253447727E-7
14,19,42,P,1.7286483068108953E-7
14,42,46,P,1.7286482970294626E-7
14,42,52,P,1.7286482906539771E-7
10,14,42,P,1.34268085027095E-7
14,42,44,P,1.34268081504098E-7
14,17,42,P,1.3426808143673265E-7
14,28,42,P,1.3426807303912813E-7
14,42,47,P,1.0978054176957787E-7
14,42,51,P,1.0978054020251288E-7
14,32,42,P,9.285473867142435E-8
14,26,42,P,9.285473797177727E-8
14,42,43,P,9.285471505675985E-8
14,35,42,P,9.285415977884526E-8
7,14,42,P,8.045428511834966E-8
14,42,54,P,6.349855322251442E-8
14,18,42,P,5.2437298114553627E-8
