0,1,P,0.4911905641824166
2,P,0.4863272894740655
4,P,0.010673850008237258
13,P,0.005409738088656535
0,17,P,0.001337400050805621
0,18,P,0.00121581822800511
0,14,P,7.204848753471694E-4
5,P,7.133513538067801E-4
15,P,7.133513538067801E-4
3,P,3.009451043705393E-4
10,P,3.009451043705393E-4
7,P,1.6641060556949074E-4
19,P,1.6641060556949074E-4
16,P,1.6641060556949074E-4
12,P,1.6641060556949074E-4
8,P,1.0568168324987387E-4
20,P,1.0568168324987387E-4
9,P,7.308546244468732E-5
6,P,7.308546244468732E-5
11,P,7.308546244468732E-5
