algorithm,pBug,pValid,times,index,precision,recall,auc,wasted,tests,files,bugged,bugsIDS,pack
uniform,0,0,10,0,0.454641131041,0.454641131041,1.0,0,11,11,1,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional\\i18n'"
uniform,0,0,10,1,0.601786056961,0.315221267982,0.633333333333,4,11,12,2,5,"""['main\\org\\apache\\tools\\ant\\util'"
uniform,0,0,10,2,0.925489159996,0.925489159996,1.0,0,11,4,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional\\i18n'"
uniform,0,0,10,3,1.0,1.0,1.0,0,9,9,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\email'"
uniform,0,0,10,4,0.736842104037,0.385964911765,0.708333333333,2,5,10,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional\\depend\\constantpool'"
uniform,0,0,10,5,0.873818182668,0.320727273137,0.763888888889,1,3,5,3,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional'"
uniform,0,0,10,6,0.771880353903,0.286711282449,0.655555555556,2,9,8,3,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional\\depend'"
uniform,0,0,10,7,1.0,0.5,0.833333333333,0,9,6,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional\\i18n'"
uniform,0,0,10,8,0.972972972925,0.360360360449,1.0,0,4,5,3,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\email'"
uniform,0,0,10,9,0.900000000011,0.900000000011,1.0,0,3,3,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional\\junit'"
uniform,0,0,10,10,0.0785400957099,0.0785400957099,0.583333333333,2,10,19,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional'"
uniform,0,0,10,11,0.742895021923,0.742895021923,1.0,0,10,15,1,5,"""['main\\org\\apache\\tools\\ant\\launch'"
uniform,0,0,10,12,0.830456942973,0.195668136262,0.742222222222,4,5,10,5,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\email'"
uniform,0,0,10,13,0.970210412272,0.336936098042,1.0,0,11,9,3,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional'"
uniform,0,0,10,14,0.065883376018,0.065883376018,0.475,3,7,20,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional\\junit'"
uniform,0,0,10,15,0.735640577044,0.208772433161,0.655871212121,7,11,11,4,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\cvslib'"
uniform,0,0,10,16,0.741078060364,0.275304953402,0.655555555556,2,11,10,3,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional'"
uniform,0,0,10,17,0.966105123746,0.361582128807,1.0,0,11,8,3,5,"""['main\\org\\apache\\tools\\ant\\filters'"
randomForest,0,0,10,0,0.689165858424,0.689165858424,1.0,0,11,11,1,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional\\i18n'"
randomForest,0,0,10,1,0.731724583091,0.367682501958,0.633333333333,4,11,12,2,5,"""['main\\org\\apache\\tools\\ant\\util'"
randomForest,0,0,10,2,0.952016518375,0.952016518375,1.0,0,11,4,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional\\i18n'"
randomForest,0,0,10,3,1.0,1.0,1.0,0,9,9,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\email'"
