0,1,P,0.73
12,1,P,0.07
16,1,P,0.06
0,7,5,P,0.04
0,3,5,P,0.02
0,19,5,P,0.02
0,10,5,P,0.02
16,7,5,P,0.01
12,7,5,P,0.01
0,8,5,P,0.01
0,21,5,P,0.01
0,2,5,P,0.01
0,11,5,P,0.01
0,6,5,P,0.0
