0,P,0.33291939896892137
20,29,P,0.3156569117762489
13,29,P,0.07891422794709407
28,29,P,0.04676398692907611
18,29,P,0.04676398692907611
4,29,P,0.01788284142682003
27,29,P,0.015494647032969523
21,29,P,0.015494647032687875
10,29,P,0.012229195339794174
17,29,P,0.011063582189601129
11,29,P,0.011063582172359664
12,29,P,0.010100895708714665
26,29,P,0.009292372048715017
14,29,P,0.008603722236949317
23,29,P,0.008603722226532362
22,29,P,0.006277675389262984
1,29,P,0.005955677516828853
25,29,P,0.005665095987751175
24,29,P,0.005665057374929202
3,29,P,0.00566504805740723
9,29,P,0.005401425879066354
7,29,P,0.005161406256062482
2,29,P,0.004941229493655705
19,29,P,0.004941090811534379
5,29,P,0.00473935493860736
6,29,P,0.004739218329333833
