0,P,0.9970973476044193
16,23,P,0.001549829514979624
11,23,P,3.87457378759792E-4
3,23,P,1.0380695376038854E-4
10,23,P,7.607646276727206E-5
22,23,P,7.607646276698614E-5
18,23,P,6.71152540176531E-5
8,23,P,6.71152540126215E-5
14,23,P,6.71152540126215E-5
21,23,P,6.711524351788633E-5
9,23,P,6.004356830105688E-5
12,23,P,4.959392847712534E-5
17,23,P,4.224299722195914E-5
19,23,P,3.932851070807046E-5
1,23,P,3.932849666337725E-5
20,23,P,3.932843746978363E-5
6,23,P,3.67902795042156E-5
15,23,P,3.455985342289277E-5
2,23,P,3.455980800345089E-5
5,23,P,3.258437481185631E-5
4,23,P,3.2584362402352124E-5
