0,P,0.5175965287206231
4,P,0.16960603048228812
23,P,0.07668096621273585
9,14,19,P,0.049566577234836304
9,17,P,0.04907581904451016
20,P,0.04118935638594553
15,P,0.04118935638594553
17,18,P,0.012268954760795142
8,P,0.007791690240473459
7,P,0.007791690240473459
6,17,P,0.005175965290267689
17,31,P,0.005175965290066696
1,17,P,0.004020291089663693
17,29,P,0.0027802815538623795
28,P,0.0026979716669991087
13,18,P,0.0018176225021761655
16,P,0.001679267628537506
17,21,P,8.807502699746733E-4
13,31,P,8.778949395613526E-4
13,29,P,4.1189356380575114E-4
27,P,4.0781540976183694E-4
24,P,4.0781540976183694E-4
25,P,2.4436560171282244E-4
10,P,1.579919152208469E-4
13,21,P,1.304843738310166E-4
2,P,1.0804289833443373E-4
5,17,P,7.198506641106948E-5
17,26,P,7.198506631336208E-5
3,P,5.7005606355773914E-5
17,30,P,3.980486233269972E-5
13,26,P,1.2811795272807643E-5
17,22,P,7.944712091268703E-6
13,30,P,5.896712130906448E-6
13,22,P,1.1770669275385308E-6
