0,P,0.7155833711090388
20,29,P,0.13458354896659575
13,29,P,0.0336458872429416
28,29,P,0.019938303550291896
18,29,P,0.019938303550291896
4,29,P,0.0076245321266220165
27,29,P,0.006606301049919472
21,29,P,0.006606301049799391
10,29,P,0.00521404236192332
17,29,P,0.0047170712878784994
11,29,P,0.004717071280527425
12,29,P,0.004306620072314108
26,29,P,0.003961897750303476
14,29,P,0.0036682848680729668
23,29,P,0.003668284863631592
22,29,P,0.0026765510325531825
1,29,P,0.00253926395023326
25,29,P,0.0024153715468407597
24,29,P,0.0024153550838696574
3,29,P,0.0024153511112489806
9,29,P,0.0023029531024495752
7,29,P,0.002200618284232818
2,29,P,0.0021067436723387384
19,29,P,0.002106684543799587
5,29,P,0.002020672393520306
6,29,P,0.0020206141487609896
