0,P,0.8650465836930797
16,23,P,0.08201923168095179
11,23,P,0.02050480792102574
3,23,P,0.005493614948144213
10,23,P,0.00402607703935631
8,23,P,0.003551836840750517
14,23,P,0.003551836840750517
9,23,P,0.0031775929493123535
12,23,P,0.0026245828140570517
17,23,P,0.0022355608423751195
20,23,P,0.002081318101963247
6,23,P,0.001946995091458756
15,23,P,0.0018289576997694774
4,23,P,0.0017244118422210788
22,23,P,3.9862148904368117E-5
18,23,P,3.51667013962059E-5
21,23,P,3.516669589459277E-5
19,23,P,2.0607148295444434E-5
1,23,P,2.0607140936379203E-5
2,23,P,1.8108468278282816E-5
5,23,P,1.7073391078713722E-5
