0,P,0.3602600832516722
16,23,P,0.3415799309612865
11,23,P,0.08539498274360247
3,23,P,0.0228788855522868
10,23,P,0.016767129964075644
22,23,P,0.016767129964012625
18,23,P,0.014792093976930461
8,23,P,0.014792093975821504
14,23,P,0.014792093975821504
21,23,P,0.01479209166279876
9,23,P,0.01323350582545458
12,23,P,0.010930422024862635
17,23,P,0.009310288606075702
19,23,P,0.008667940468696999
1,23,P,0.008667937373269216
20,23,P,0.008667924327096444
6,23,P,0.008108518396142184
15,23,P,0.007616936077242727
2,23,P,0.00761692606687083
5,23,P,0.007181543770507489
4,23,P,0.007181541035472737
