0,P,0.8557293847274486
20,29,P,0.08113582318598137
13,29,P,0.02028395579727465
18,29,P,0.01202012195328889
4,29,P,0.004596569902128108
21,29,P,0.003982713177098087
10,29,P,0.0031433679852374014
17,29,P,0.002843761105333707
11,29,P,0.002843761100901995
12,29,P,0.0025963140918746595
14,29,P,0.0022114836080422595
22,29,P,0.0016136011644290345
25,29,P,0.001456144976542145
3,29,P,0.00145613265662211
7,29,P,0.0013266775722615865
19,29,P,0.0012700481297070578
5,29,P,0.001218194343189376
28,29,P,1.1901110844840487E-4
27,29,P,3.9432803734361195E-5
26,29,P,2.3648443391060488E-5
23,29,P,2.1895877280838675E-5
1,29,P,1.5156786864944247E-5
24,29,P,1.4417178728508702E-5
9,29,P,1.3746254827342338E-5
2,29,P,1.2575086893891016E-5
6,29,P,1.2060982469446599E-5
