algorithm,pBug,pValid,times,precision_avg,recall_avg,auc_avg,wasted_avg,tests_avg,files_avg,bugged_avg
uniform,0,0,10,0.7426799762,0.428594312786,0.817023709315,1.5,8.38888888889,9.72222222222,2.5
randomForest,0,0,10,0.82548982662,0.561265235173,0.913061618166,0.722222222222,8.38888888889,9.72222222222,2.5
0.0,0.6,0.0,10,0.991820661537,0.649302029326,0.953187830688,0.5,8.38888888889,9.72222222222,2.5
0.1,0.6,0.1,10,0.920271761452,0.598894078958,0.952430004409,0.555555555556,8.38888888889,9.72222222222,2.5
0.2,0.6,0.2,10,0.860251650489,0.558629711231,0.952430004409,0.555555555556,8.38888888889,9.72222222222,2.5
uniform,0,0,20,0.786569014399,0.394819631743,0.804265283865,3.11764705882,14.8333333333,16.1666666667,3.22222222222
randomForest,0,0,20,0.826230881274,0.472168925989,0.814095766563,2.82352941176,14.8333333333,16.1666666667,3.22222222222
0.0,0.6,0.0,20,0.987661810759,0.560464423151,0.87017214661,2.70588235294,14.8333333333,16.1666666667,3.22222222222
0.1,0.6,0.1,20,0.915362484561,0.509455326659,0.857917244649,2.76470588235,14.8333333333,16.1666666667,3.22222222222
0.2,0.6,0.2,20,0.86481478169,0.477618443235,0.851054499551,2.82352941176,14.8333333333,16.1666666667,3.22222222222
uniform,0,0,30,0.809000754472,0.384803608233,0.788011944411,3.47058823529,18.6666666667,19.1111111111,3.44444444444
randomForest,0,0,30,0.831929616951,0.44321767485,0.77451726371,3.35294117647,18.6666666667,19.1111111111,3.44444444444
0.0,0.6,0.0,30,0.988397340041,0.51613922917,0.831492336568,3.23529411765,18.6666666667,19.1111111111,3.44444444444
0.1,0.6,0.1,30,0.922365079764,0.475048089606,0.819237434607,3.29411764706,18.6666666667,19.1111111111,3.44444444444
0.2,0.6,0.2,30,0.877545653294,0.451394738966,0.814335473823,3.35294117647,18.6666666667,19.1111111111,3.44444444444
uniform,0,0,40,0.809499517181,0.385302370942,0.788011944411,3.47058823529,19.1111111111,19.1111111111,3.44444444444
randomForest,0,0,40,0.832498635401,0.4437866933,0.77451726371,3.35294117647,19.1111111111,19.1111111111,3.44444444444
0.0,0.6,0.0,40,0.988438654333,0.516180543462,0.831492336568,3.23529411765,19.1111111111,19.1111111111,3.44444444444
0.1,0.6,0.1,40,0.922689058324,0.475372068166,0.819237434607,3.29411764706,19.1111111111,19.1111111111,3.44444444444
0.2,0.6,0.2,40,0.878008507568,0.451857593239,0.814335473823,3.35294117647,19.1111111111,19.1111111111,3.44444444444
