0,P,0.694185370320032
8,9,P,0.09294687016141638
10,P,0.05281072139953427
7,8,P,0.023236717534277623
9,13,P,0.023236717496226342
9,12,P,0.023236717496226342
6,8,P,0.013769906692162784
8,11,P,0.013769906678960673
2,P,0.012825249321119536
5,P,0.007184652567310437
7,12,P,0.005809179385775167
7,13,P,0.005809179385775113
3,P,0.005670508047563093
4,P,0.004589497349700853
11,13,P,0.003442475576622541
6,13,P,0.0034424752165254984
11,12,P,0.0034424752165254984
6,12,P,0.0034424751709368115
9,14,P,0.0029733413785946574
1,8,P,0.001663480565345583
7,14,P,7.433762771839231E-4
11,14,P,4.4063154123148316E-4
6,14,P,4.406315412314222E-4
1,13,P,4.1703211706362286E-4
1,12,P,4.170321149978658E-4
1,14,P,5.337944766055347E-5
