1,P,0.9997272807016011
3,4,P,1.6388971907765152E-4
0,4,5,P,9.99727286323288E-5
3,6,P,5.24440587054912E-6
0,5,6,P,3.1896095618050093E-6
2,4,5,P,4.097242969809913E-7
2,5,6,P,1.3110959312337643E-8
