1,P,0.6476570767586212
14,P,0.09594919576444436
0,6,P,0.0647657079149949
4,P,0.0404785672298889
5,P,0.022383028623776394
3,P,0.022383028623776394
11,P,0.022383028623776394
10,P,0.022383028623776394
6,9,P,0.01619142697649559
2,P,0.014214695830807535
6,12,P,0.006830758247876615
0,8,P,0.00683075824119003
0,13,P,0.00683075824119003
0,7,P,0.004337980895301183
9,13,P,0.0017076895642848435
8,9,P,0.0016921604755273485
7,9,P,0.0010844952268450473
8,12,P,7.195463569653589E-4
12,13,P,7.195463569653575E-4
7,12,P,4.575214234964022E-4
