0,P,0.5946645436284607
15,P,0.08809844853723899
2,7,P,0.05946645458241256
3,P,0.03716653408304756
4,P,0.037166533914778886
9,P,0.02055160667462526
16,P,0.02055160667462526
14,P,0.02055160667462526
2,18,P,0.01486661364353436
7,13,P,0.01486661361737066
7,17,P,0.014866613617370652
11,P,0.013051622397688908
1,P,0.013051622397688908
6,7,P,0.008809845124354175
2,5,P,0.008809845115886322
12,P,0.006614844573331294
7,10,P,0.0062718526175398
7,8,P,0.003983039044781744
13,18,P,0.003716653411840098
17,18,P,0.0037166534118399756
6,18,P,0.0022024607589158965
5,17,P,0.00220246057960613
5,13,P,0.0022024604636843937
10,18,P,0.001553704688848238
8,18,P,9.957597659038695E-4
