4,39,P,0.17
4,2,30,P,0.12
4,2,1,P,0.11
4,2,16,P,0.1
4,18,P,0.1
4,40,P,0.07
4,2,34,P,0.05
4,37,P,0.04
4,19,P,0.04
4,38,1,P,0.03
4,2,41,P,0.03
4,2,35,P,0.03
4,2,33,P,0.03
4,42,1,P,0.02
4,32,P,0.02
4,31,P,0.02
4,45,1,P,0.01
4,44,1,P,0.01
4,2,36,P,0.0
