0,P,0.7
21,P,0.07
18,P,0.07
14,P,0.07
3,19,P,0.01
25,23,P,0.01
25,19,P,0.01
24,25,P,0.01
24,20,P,0.01
24,19,P,0.01
17,P,0.01
13,P,0.01
10,P,0.01
11,19,P,0.0
