1,P,0.63
38,25,P,0.05
24,39,P,0.05
24,25,P,0.05
39,25,P,0.04
24,3,P,0.03
24,26,P,0.03
40,25,P,0.02
34,P,0.02
23,P,0.02
41,25,P,0.01
39,35,P,0.01
38,35,P,0.01
24,41,P,0.01
24,35,P,0.01
24,33,P,0.01
10,P,0.0
