0,P,0.89
8,P,0.01
6,9,P,0.01
6,7,P,0.01
6,18,P,0.01
6,12,P,0.01
5,P,0.01
4,P,0.01
16,P,0.01
13,P,0.01
10,9,P,0.01
10,18,P,0.01
10,12,P,0.01
1,P,0.0
