algorithm,pBug,pValid,times,index,precision,recall,auc,wasted,tests,files,bugged,bugsIDS,pack
uniform,0,0,10,0,0.507744090069,0.507744090069,1.0,0,7,8,1,4,"""['org.eclipse.cdt.core\\model\\org\\eclipse\\cdt\\core\\language\\settings\\providers'"
uniform,0,0,10,1,0.525827310529,0.525827310529,1.0,0,4,6,1,5,"""['org.eclipse.cdt.core.tests\\parser\\org\\eclipse\\cdt\\core\\parser\\tests\\ast2'"
uniform,0,0,10,2,0.209115011184,0.209115011184,0.583333333333,2,11,53,2,5,"""['org.eclipse.cdt.core.tests\\model\\org\\eclipse\\cdt\\core\\language\\settings\\providers'"
uniform,0,0,10,3,0.465866499576,0.465866499576,1.0,0,9,22,1,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\dom\\parser\\c'"
uniform,0,0,10,4,0.0674998725662,0.0674998725662,0.625,3,11,25,1,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\pdom\\dom'"
uniform,0,0,10,5,0.46979427896,0.46979427896,1.0,0,11,32,1,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\dom\\parser'"
uniform,0,0,10,6,0.441809677339,0.441809677339,1.0,0,11,52,1,5,"""['org.eclipse.cdt.core\\src\\org\\eclipse\\cdt\\core'"
uniform,0,0,10,7,0.646706586593,0.646706586593,1.0,0,4,4,1,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\pdom'"
uniform,0,0,10,8,0.785454545954,0.785454545954,1.0,0,3,5,1,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\pdom\\dom\\c'"
uniform,0,0,10,9,0.0601318350868,0.0601318350868,0.625,3,11,31,1,4,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\pdom\\indexer'"
uniform,0,0,10,10,0.244034989772,0.244034989772,1.0,0,11,27,1,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\pdom\\dom\\cpp'"
uniform,0,0,10,11,0.525241923316,0.525241923316,1.0,0,11,20,1,4,"""['org.eclipse.cdt.core.tests\\model\\org\\eclipse\\cdt\\core\\language\\settings\\providers'"
uniform,0,0,10,12,0.475675092185,0.475675092185,1.0,0,9,42,1,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\pdom\\dom\\cpp'"
randomForest,0,0,10,0,0.507744090069,0.507744090069,1.0,0,7,8,1,4,"""['org.eclipse.cdt.core\\model\\org\\eclipse\\cdt\\core\\language\\settings\\providers'"
randomForest,0,0,10,1,0.525827310529,0.525827310529,1.0,0,4,6,1,5,"""['org.eclipse.cdt.core.tests\\parser\\org\\eclipse\\cdt\\core\\parser\\tests\\ast2'"
randomForest,0,0,10,2,0.499356788532,0.499356788532,0.559294871795,11,11,53,2,5,"""['org.eclipse.cdt.core.tests\\model\\org\\eclipse\\cdt\\core\\language\\settings\\providers'"
randomForest,0,0,10,3,0.897527499041,0.897527499041,1.0,0,9,22,1,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\dom\\parser\\c'"
randomForest,0,0,10,4,0.73467393446,0.73467393446,1.0,0,11,25,1,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\pdom\\dom'"
randomForest,0,0,10,5,0.640616032959,0.640616032959,1.0,0,11,32,1,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\dom\\parser'"
randomForest,0,0,10,6,0.767201646021,0.767201646021,1.0,0,11,52,1,5,"""['org.eclipse.cdt.core\\src\\org\\eclipse\\cdt\\core'"
randomForest,0,0,10,7,0.994620224304,0.994620224304,1.0,0,4,4,1,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\pdom'"
randomForest,0,0,10,8,0.998411950201,0.998411950201,1.0,0,3,5,1,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\pdom\\dom\\c'"
randomForest,0,0,10,9,0.741203231351,0.741203231351,1.0,0,11,31,1,4,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\pdom\\indexer'"
randomForest,0,0,10,10,0.661494062525,0.661494062525,1.0,0,11,27,1,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\pdom\\dom\\cpp'"
randomForest,0,0,10,11,0.9923554122,0.9923554122,1.0,0,11,20,1,4,"""['org.eclipse.cdt.core.tests\\model\\org\\eclipse\\cdt\\core\\language\\settings\\providers'"
randomForest,0,0,10,12,0.954554065477,0.954554065477,1.0,0,9,42,1,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\pdom\\dom\\cpp'"
