0,P,0.40719264450143866
2,3,P,0.24838751456626085
1,3,P,0.24838751454321142
2,7,P,0.044791191149286466
1,4,7,P,0.02732262659968768
3,8,P,0.00663573201025404
2,8,P,0.006635732010254039
1,4,8,P,0.004047796180898997
4,8,P,0.0027994494469376747
2,6,P,0.0014333002777153101
3,9,P,0.001318568736686471
1,5,7,P,4.033374839174376E-4
1,6,P,1.6864130687222948E-4
1,7,9,P,1.4419768332162952E-4
4,7,9,P,1.4404782824005747E-4
1,5,8,P,5.979571386108926E-5
5,8,P,4.135475220901016E-5
7,9,P,2.590484850940293E-5
1,8,9,P,2.094053223455683E-5
6,8,P,1.7614326657558266E-5
8,9,P,1.609354987217903E-5
4,6,9,P,4.602086330799735E-6
6,9,P,1.399865342570483E-6
