algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.294666666667,0.1548625,4.55,5.75,14.25,2.95,1.2,5.75
randomForest,0,0,10,0.09925,0.0563333333333,1.8,2.2,14.25,2.95,0.4,2.2
0.0,0.6,0.0,10,0.1485,0.0438541666667,1.35,1.65,14.25,2.95,0.3,1.65
0.1,0.6,0.1,10,0.286583333333,0.11705,3.5,4.3,14.25,2.95,0.8,4.3
0.2,0.6,0.2,10,0.46425,0.208554166667,5.35,6.7,14.25,2.95,1.35,6.7
uniform,0,0,20,0.35325,0.159770833333,9.1,11.9,27.2,3.65,2.8,11.9
randomForest,0,0,20,0.12375,0.08265,2.6,3.6,27.2,3.65,1.0,3.6
0.0,0.6,0.0,20,0.34325,0.139520833333,2.5,3.9,27.2,3.65,1.4,3.9
0.1,0.6,0.1,20,0.517666666667,0.24725,6.45,9.05,27.2,3.65,2.6,9.05
0.2,0.6,0.2,20,0.614916666667,0.3140625,9.45,12.95,27.2,3.65,3.5,12.95
uniform,0,0,30,0.406083333333,0.159345833333,12.4,15.5,31.85,3.8,3.1,15.5
randomForest,0,0,30,0.10225,0.06975,2.9,3.7,31.85,3.8,0.8,3.7
0.0,0.6,0.0,30,0.195,0.053675,2.25,3.05,31.85,3.8,0.8,3.05
0.1,0.6,0.1,30,0.397166666667,0.187366666667,7.9,10.1,31.85,3.8,2.2,10.1
0.2,0.6,0.2,30,0.500333333333,0.234495833333,12.4,15.5,31.85,3.8,3.1,15.5
uniform,0,0,40,0.379583333333,0.1604125,13.9,18.7,33.7,3.8,4.8,18.7
randomForest,0,0,40,0.153083333333,0.086,3.35,5.15,33.7,3.8,1.8,5.15
0.0,0.6,0.0,40,0.1965,0.0529875,1.85,3.05,33.7,3.8,1.2,3.05
0.1,0.6,0.1,40,0.398,0.183829166667,7.25,10.55,33.7,3.8,3.3,10.55
0.2,0.6,0.2,40,0.461,0.214970833333,10.9,15.25,33.7,3.8,4.35,15.25
