algorithm,pBug,pValid,times,precision_avg,recall_avg,auc_avg,wasted_avg,tests_avg,files_avg,bugged_avg
uniform,0,0,10,0.617730026027,0.348679903846,0.754594731127,3.45,8.15,14.25,2.95
randomForest,0,0,10,0.684534513909,0.431418871365,0.76068434753,3.25,8.15,14.25,2.95
0.0,0.6,0.0,10,0.974307299043,0.589996634876,0.895845971207,2.35,8.15,14.25,2.95
0.1,0.6,0.1,10,0.826258635853,0.499625408047,0.895845971207,2.35,8.15,14.25,2.95
0.2,0.6,0.2,10,0.731539338926,0.446866014494,0.871186880298,2.45,8.15,14.25,2.95
uniform,0,0,20,0.617081689231,0.298751455037,0.701524749495,6.25,14.8,27.2,3.65
randomForest,0,0,20,0.712304411542,0.412165334428,0.672256576695,6.45,14.8,27.2,3.65
0.0,0.6,0.0,20,0.98186063943,0.510492106717,0.809506892352,5.9,14.8,27.2,3.65
0.1,0.6,0.1,20,0.849875645442,0.453118147578,0.799090225685,5.9,14.8,27.2,3.65
0.2,0.6,0.2,20,0.755158950772,0.405160888429,0.776173559018,5.9,14.8,27.2,3.65
uniform,0,0,30,0.616638591793,0.282486520148,0.659401554007,7.65,20.95,31.85,3.8
randomForest,0,0,30,0.709846563977,0.40307160795,0.634555008192,7.85,20.95,31.85,3.8
0.0,0.6,0.0,30,0.958416942777,0.496384842933,0.743119807976,7.75,20.95,31.85,3.8
0.1,0.6,0.1,30,0.827508103095,0.431224679653,0.732703141309,7.75,20.95,31.85,3.8
0.2,0.6,0.2,30,0.729465829785,0.37623769542,0.707703141309,7.75,20.95,31.85,3.8
uniform,0,0,40,0.623498261905,0.288535543359,0.678960683802,5.55,23.6,33.7,3.8
randomForest,0,0,40,0.72951350997,0.411498208753,0.64594747132,5.7,23.6,33.7,3.8
0.0,0.6,0.0,40,0.957798170239,0.496023071126,0.754512271104,5.6,23.6,33.7,3.8
0.1,0.6,0.1,40,0.824821359745,0.430337325911,0.744095604437,5.6,23.6,33.7,3.8
0.2,0.6,0.2,40,0.728730918689,0.377300164825,0.719095604437,5.6,23.6,33.7,3.8
