0,2,6,8,9,10,15,16,17,13,1,3,5,11,12,14,4,7,18,error,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,
1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,
0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,
