2,3,P,0.2766246486292281
2,4,P,0.2766246483836594
11,P,0.2738857886377111
2,68,P,0.022661091215684756
2,75,P,0.022661091209112312
2,53,P,0.018528183785396016
2,54,P,0.015671554753142143
2,67,P,0.013578670793972904
2,105,P,0.01197921019921106
2,104,P,0.011979210125550973
70,P,0.008583025091319432
2,66,P,0.008143333995896946
2,81,P,0.007019634325215558
2,85,P,0.0070196343252072815
2,32,P,0.0027388579072200807
2,30,P,0.0027388578996799338
55,P,0.002298724531363307
52,P,0.001999945901756996
10,P,0.001069866367984111
9,P,0.0010698663679841107
2,109,P,6.847144768132334E-4
2,99,P,6.847144768131511E-4
2,36,P,6.847144768131511E-4
2,31,P,6.847144768116663E-4
2,21,P,6.847144768116663E-4
2,101,P,6.847144767561084E-4
2,16,P,6.847144767560706E-4
2,45,P,6.847144763711561E-4
15,P,5.655576773018277E-4
2,12,P,2.888639199063076E-4
2,51,P,2.8886391990630184E-4
2,41,P,2.888639199061192E-4
2,13,P,2.888639199061192E-4
2,35,P,2.888639199061191E-4
2,49,P,2.888639165495085E-4
2,8,P,2.2436723976254378E-4
2,73,P,2.2436723976254378E-4
2,33,P,2.2436723975925504E-4
2,7,P,2.2436723975925406E-4
2,39,P,2.2436723975918072E-4
2,78,P,2.2436723969423798E-4
2,14,P,2.2436723969423798E-4
2,46,P,2.2436723969420093E-4
2,60,P,1.8344759430948977E-4
2,86,P,1.834475943086023E-4
2,74,P,1.834475943086023E-4
2,34,P,1.834475942968036E-4
2,44,P,1.8344740728664456E-4
2,106,P,1.8344738133548974E-4
2,42,P,1.5516391268314278E-4
2,82,P,1.551639079162153E-4
2,20,P,1.344422851277388E-4
2,97,P,1.3444228512773788E-4
2,72,P,1.3444228505833918E-4
98,P,1.319332729986692E-4
2,47,P,1.1860604085029246E-4
2,80,P,1.1860604084700426E-4
2,27,P,1.0610896695250864E-4
2,28,P,1.0610896692062683E-4
2,40,P,1.0610896656975075E-4
2,38,P,9.599529817836956E-5
2,37,P,9.599529817836956E-5
2,29,P,9.59952981731662E-5
2,22,P,9.599529817266609E-5
103,P,8.968678256342145E-5
2,19,P,8.764236387195169E-5
2,26,P,8.062706904153032E-5
2,79,P,6.950132972245921E-5
23,P,6.309819306438413E-5
108,P,6.309819306438413E-5
2,18,P,6.107416814677972E-5
2,17,P,5.758323286954272E-5
65,P,3.3889463755586024E-5
77,P,1.980144457185144E-5
25,P,1.5518863112979494E-5
56,P,1.5518863112979488E-5
84,P,9.927371991730532E-6
