5,P,0.3380315915672157
1,3,P,0.20619927234991303
3,7,P,0.20619927218578105
3,48,P,0.0709866347703036
3,9,P,0.07098663476933086
3,49,P,0.017746658691066498
3,59,P,0.017746658659465554
3,65,P,0.010516538484238901
3,61,P,0.010516538482853882
60,P,0.00953315525655725
47,P,0.00953315525655725
24,P,0.00953315525655725
3,78,P,0.005815225120380659
3,22,P,0.005815225098788205
3,36,P,0.004754656069725963
26,P,0.0025541076991988806
45,P,9.767064227799568E-4
52,P,4.545762976117683E-4
10,P,4.545762976117683E-4
57,P,2.4030021199581642E-4
53,P,2.4030021199581642E-4
35,P,2.4030021199581642E-4
21,P,2.4030021199581642E-4
62,P,1.3899341310681348E-4
58,P,1.3899341310681348E-4
76,P,8.599108999924301E-5
69,P,8.599108999924301E-5
79,P,5.605722412280599E-5
77,P,5.605722412280599E-5
68,P,5.6057224122805976E-5
50,P,3.8107082138876355E-5
37,P,2.6809837048383857E-5
11,P,1.4028183111663113E-6
