3,P,0.52
0,2,P,0.32
0,4,1,P,0.06
2,9,P,0.03
2,12,P,0.02
2,8,P,0.01
2,7,P,0.01
2,11,P,0.01
2,10,P,0.01
0,6,P,0.01
0,5,1,P,0.0
