0,P,0.74
2,9,P,0.08
2,8,1,P,0.05
7,9,P,0.01
7,8,P,0.01
6,P,0.01
4,P,0.01
2,5,1,P,0.01
2,3,1,P,0.01
12,P,0.01
11,9,P,0.01
11,8,1,P,0.01
10,8,1,P,0.0
