algorithm,pBug,pValid,times,precision_avg,recall_avg,auc_avg,wasted_avg,tests_avg,files_avg,bugged_avg
uniform,0,0,10,0.511381695764,0.434244267289,0.834263392857,1.3125,9.25,14.1875,1.5
randomForest,0,0,10,0.674381169948,0.588053237024,0.871180555556,0.75,9.25,14.1875,1.5
0.0,0.6,0.0,10,0.96166561468,0.833511270601,0.972222222222,0.3125,9.25,14.1875,1.5
0.1,0.6,0.1,10,0.77797142725,0.682682491194,0.964409722222,0.3125,9.25,14.1875,1.5
0.2,0.6,0.2,10,0.670736083108,0.593059255898,0.911631944444,0.5,9.25,14.1875,1.5
uniform,0,0,20,0.503846020999,0.437001733032,0.722103394626,4.8125,18.625,33.125,2.0
randomForest,0,0,20,0.629952104967,0.536574936593,0.729891093039,4.6875,18.625,33.125,2.0
0.0,0.6,0.0,20,0.929288032047,0.807042351118,0.87863861288,3.75,18.625,33.125,2.0
0.1,0.6,0.1,20,0.764433407393,0.672688707954,0.865617779547,3.75,18.625,33.125,2.0
0.2,0.6,0.2,20,0.660654036892,0.584559225123,0.820392085102,3.9375,18.625,33.125,2.0
uniform,0,0,30,0.524326802533,0.47618815799,0.785446311498,3.9375,27.3125,58.1875,2.0625
randomForest,0,0,30,0.644242755968,0.561370313755,0.774804522731,4.625,27.3125,58.1875,2.0625
0.0,0.6,0.0,30,0.909431203844,0.807368371481,0.894759307529,3.25,27.3125,58.1875,2.0625
0.1,0.6,0.1,30,0.755377299938,0.684927204377,0.881738474196,3.25,27.3125,58.1875,2.0625
0.2,0.6,0.2,30,0.66167769241,0.608783042303,0.836512779752,3.4375,27.3125,58.1875,2.0625
uniform,0,0,40,0.529033145564,0.48062516464,0.785179064234,4.125,31.375,63.625,2.0625
randomForest,0,0,40,0.651473496985,0.568505562067,0.773272394514,4.875,31.375,63.625,2.0625
0.0,0.6,0.0,40,0.909098575767,0.807008532203,0.894492060265,3.4375,31.375,63.625,2.0625
0.1,0.6,0.1,40,0.755322042269,0.684779679168,0.881471226932,3.4375,31.375,63.625,2.0625
0.2,0.6,0.2,40,0.662380355292,0.609358404125,0.836245532488,3.625,31.375,63.625,2.0625
