algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.3565,0.266,8.9,10.9,28.25,1.5,2.0,10.9
randomForest,0,0,10,0.077,0.06325,3.05,3.75,28.25,1.5,0.7,3.75
0.0,0.6,0.0,10,0.0,0.0,0.0,0,28.25,1.5,0,0
0.1,0.6,0.1,10,0.19225,0.16025,3.5,4.3,28.25,1.5,0.8,4.3
0.2,0.6,0.2,10,0.35925,0.27925,6.65,8.15,28.25,1.5,1.5,8.15
uniform,0,0,20,0.25575,0.16425,16.15,19.9,71.85,1.95,3.75,19.9
randomForest,0,0,20,0.06775,0.0385833333333,6.0,7.35,71.85,1.95,1.35,7.35
0.0,0.6,0.0,20,0.0,0.0,0.0,0,71.85,1.95,0,0
0.1,0.6,0.1,20,0.326166666667,0.22575,11.05,13.6,71.85,1.95,2.55,13.6
0.2,0.6,0.2,20,0.366416666667,0.245083333333,14.45,17.8,71.85,1.95,3.35,17.8
uniform,0,0,30,0.253,0.162666666667,24.25,27.85,114.2,2.2,3.6,27.85
randomForest,0,0,30,0.113,0.0744166666667,13.5,15.5,114.2,2.2,2.0,15.5
0.0,0.6,0.0,30,0.0,0.0,0.0,0,114.2,2.2,0,0
0.1,0.6,0.1,30,0.2745,0.184516666667,16.2,18.6,114.2,2.2,2.4,18.6
0.2,0.6,0.2,30,0.321,0.227158333333,22.9,26.3,114.2,2.2,3.4,26.3
uniform,0,0,40,0.223,0.1417,26.35,31.1,139.3,2.2,4.75,31.1
randomForest,0,0,40,0.1285,0.0952916666667,13.05,15.45,139.3,2.2,2.4,15.45
0.0,0.6,0.0,40,0.0105,0.007,1.65,1.95,139.3,2.2,0.3,1.95
0.1,0.6,0.1,40,0.322166666667,0.235733333333,23.35,27.45,139.3,2.2,4.1,27.45
0.2,0.6,0.2,40,0.309916666667,0.219058333333,26.5,31.25,139.3,2.2,4.75,31.25
