0,P,0.5657629746512467
1,2,P,0.3451154158115214
3,P,0.08381673629317639
4,P,0.0013740448316378257
2,12,P,5.96703138179603E-4
11,P,5.796751806033915E-4
10,P,5.796751779789559E-4
5,P,5.796751731950621E-4
1,14,P,4.634730178211674E-4
6,P,3.2053718814548067E-4
9,P,3.205371876802779E-4
1,15,P,1.9826387250234122E-4
16,P,7.886210688478433E-5
17,P,6.224214863371184E-5
13,P,5.0376469175333194E-5
8,P,3.494786400660957E-5
18,P,3.494786400660957E-5
7,P,2.9767826847018007E-5
12,14,P,8.013429701684477E-7
12,15,P,3.428537870255546E-7
