0,P,0.9925491497494796
8,P,0.0024105625781483805
10,P,0.0024105625781483805
6,P,0.0010169560989625364
5,P,0.0010169560943583446
4,P,2.4697097697462533E-4
1,2,P,1.6271297596954815E-4
1,9,P,4.067824398672642E-5
2,7,P,4.067824391513691E-5
2,11,P,4.067824391513691E-5
2,12,P,2.4105626049253278E-5
2,3,P,1.089844925496567E-5
7,9,P,1.0169560999298836E-5
9,11,P,1.0169560999296385E-5
9,12,P,6.026406517411209E-6
3,9,P,2.7246123213284542E-6
