0,P,0.28052027463204265
1,3,P,0.17111736883002251
1,4,P,0.17111736838558658
1,13,P,0.058909258121852076
1,12,P,0.058909258121811026
1,14,P,0.0589092581210331
1,11,P,0.0589092581210331
11,12,P,0.02028023640260853
11,17,P,0.020280236402590412
11,14,P,0.020280236402322738
11,16,P,0.020280236339494447
1,18,P,0.014727314530096855
1,19,P,0.014727314529939355
1,7,P,0.00872729749932421
8,P,0.007911223418715432
9,P,0.007911223085039916
7,11,P,0.00300447946655739
1,5,P,0.002551061109686151
5,11,P,8.782341567668042E-4
6,P,4.651987653915074E-5
21,P,2.3424469378741216E-6
