algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.40875,0.2865,8.15,10.35,23.15,1.9,2.0,10.35
randomForest,0,0,10,0.568,0.378416666667,4.85,10.35,23.15,1.9,2.0,10.35
0.0,0.6,0.0,10,0.88875,0.521,0.9,10.35,23.15,1.9,2.0,10.35
0.1,0.6,0.1,10,0.72325,0.4895,6.3,10.35,23.15,1.9,2.0,10.35
0.2,0.6,0.2,10,0.617,0.434,7.8,10.35,23.15,1.9,2.0,10.35
uniform,0,0,20,0.386416666667,0.235175,16.0,20.2,58.65,2.65,4.0,20.2
randomForest,0,0,20,0.5575,0.345416666667,13.8,20.2,58.65,2.65,4.0,20.2
0.0,0.6,0.0,20,0.859,0.511525,1.7,20.2,58.65,2.65,4.0,20.2
0.1,0.6,0.1,20,0.6805,0.433333333333,13.2,20.2,58.65,2.65,4.0,20.2
0.2,0.6,0.2,20,0.5465,0.355058333333,15.25,20.2,58.65,2.65,4.0,20.2
uniform,0,0,30,0.383666666667,0.192983333333,24.15,30.85,97.5,3.55,4.0,30.85
randomForest,0,0,30,0.453,0.25455,20.25,30.85,97.5,3.55,4.0,30.85
0.0,0.6,0.0,30,0.840083333333,0.385583333333,3.15,30.85,97.5,3.55,4.0,30.85
0.1,0.6,0.1,30,0.65175,0.335783333333,20.15,30.85,97.5,3.55,4.0,30.85
0.2,0.6,0.2,30,0.55875,0.306666666667,24.7,30.85,97.5,3.55,4.0,30.85
uniform,0,0,40,0.397083333333,0.205333333333,28.15,37.45,109.0,3.55,5.9,37.45
randomForest,0,0,40,0.408583333333,0.218858333333,24.35,37.45,109.0,3.55,5.9,37.45
0.0,0.6,0.0,40,0.811833333333,0.396691666667,5.4,37.45,109.0,3.55,5.9,37.45
0.1,0.6,0.1,40,0.67,0.368325,24.45,37.45,109.0,3.55,5.9,37.45
0.2,0.6,0.2,40,0.559416666667,0.315183333333,27.15,37.45,109.0,3.55,5.9,37.45
