algorithm,pBug,pValid,times,precision_avg,recall_avg,auc_avg,wasted_avg,tests_avg,files_avg,bugged_avg
uniform,0,0,10,0.444260265582,0.311717087472,0.868541666667,1.6,10.35,23.15,1.9
randomForest,0,0,10,0.548749082581,0.416669293088,0.750833784271,3.35,10.35,23.15,1.9
0.0,0.6,0.0,10,0.962507107345,0.738487732426,1.0,0.25,10.35,23.15,1.9
0.1,0.6,0.1,10,0.766565541824,0.582216595298,1.0,0.25,10.35,23.15,1.9
0.2,0.6,0.2,10,0.667725787723,0.510543234822,0.975,0.35,10.35,23.15,1.9
uniform,0,0,20,0.487138086973,0.317950159344,0.716862552289,17.1,20.2,58.65,2.65
randomForest,0,0,20,0.657221809478,0.437461910688,0.679708228168,20.2,20.2,58.65,2.65
0.0,0.6,0.0,20,0.934385851866,0.594909607086,0.833479615781,15.45,20.2,58.65,2.65
0.1,0.6,0.1,20,0.74574663221,0.497211805707,0.827229615781,15.45,20.2,58.65,2.65
0.2,0.6,0.2,20,0.655352606054,0.450577650471,0.78674350467,15.55,20.2,58.65,2.65
uniform,0,0,30,0.481919637345,0.260170268467,0.525132937049,37.95,30.85,97.5,3.55
randomForest,0,0,30,0.548809254509,0.30204521436,0.512539068272,38.0,30.85,97.5,3.55
0.0,0.6,0.0,30,0.893153292121,0.452084084355,0.650377796356,37.55,30.85,97.5,3.55
0.1,0.6,0.1,30,0.713707812579,0.370749671274,0.631454185245,37.55,30.85,97.5,3.55
0.2,0.6,0.2,30,0.617318710021,0.332525544116,0.601940296356,37.6,30.85,97.5,3.55
uniform,0,0,40,0.491699328218,0.262310108002,0.517411579166,42.8,37.45,109.0,3.55
randomForest,0,0,40,0.566804356128,0.304169140092,0.515721540356,43.0,37.45,109.0,3.55
0.0,0.6,0.0,40,0.891496947998,0.450550388566,0.64682310514,42.35,37.45,109.0,3.55
0.1,0.6,0.1,40,0.714014755642,0.368727609006,0.627899494029,42.35,37.45,109.0,3.55
0.2,0.6,0.2,40,0.623009434641,0.331958797807,0.59838560514,42.4,37.45,109.0,3.55
