algorithm,pBug,pValid,times,precision_avg,recall_avg,auc_avg,wasted_avg,tests_avg,files_avg,bugged_avg
uniform,0,0,10,0.417300131779,0.417300131779,0.910256410256,0.615384615385,8.69230769231,25.1538461538,1.07692307692
randomForest,0,0,10,0.762737403667,0.762737403667,0.966099605523,0.846153846154,8.69230769231,25.1538461538,1.07692307692
0.0,0.6,0.0,10,0.952313103291,0.952313103291,1.0,0.0,8.69230769231,25.1538461538,1.07692307692
0.1,0.6,0.1,10,0.734668697666,0.734668697666,1.0,0.0,8.69230769231,25.1538461538,1.07692307692
0.2,0.6,0.2,10,0.613885830344,0.613885830344,0.961538461538,0.153846153846,8.69230769231,25.1538461538,1.07692307692
uniform,0,0,20,0.392653568879,0.392653568879,0.847581585082,2.07692307692,18.7692307692,72.3846153846,1.23076923077
randomForest,0,0,20,0.739407740479,0.739407740479,0.948717948718,0.230769230769,18.7692307692,72.3846153846,1.23076923077
0.0,0.6,0.0,20,0.932578092958,0.932578092958,1.0,0.0,18.7692307692,72.3846153846,1.23076923077
0.1,0.6,0.1,20,0.701428359897,0.701428359897,0.961538461538,0.153846153846,18.7692307692,72.3846153846,1.23076923077
0.2,0.6,0.2,20,0.560822665612,0.560822665612,0.923076923077,0.307692307692,18.7692307692,72.3846153846,1.23076923077
uniform,0,0,30,0.290052504924,0.289462406668,0.744448053793,6.76923076923,29.5384615385,122.461538462,1.53846153846
randomForest,0,0,30,0.672534642125,0.665997784711,0.835555612487,6.76923076923,29.5384615385,122.461538462,1.53846153846
0.0,0.6,0.0,30,0.798452939959,0.792212495979,0.894571327955,4.38461538462,29.5384615385,122.461538462,1.53846153846
0.1,0.6,0.1,30,0.566302989358,0.563550673124,0.849699533083,4.53846153846,29.5384615385,122.461538462,1.53846153846
0.2,0.6,0.2,30,0.440997569903,0.439232082043,0.793075601459,4.84615384615,29.5384615385,122.461538462,1.53846153846
uniform,0,0,40,0.294461452749,0.293969108604,0.74343265058,7.61538461538,37.0,147.923076923,1.53846153846
randomForest,0,0,40,0.675192372096,0.669092050482,0.831274070658,8.53846153846,37.0,147.923076923,1.53846153846
0.0,0.6,0.0,40,0.797265126179,0.791658817797,0.893844738492,5.53846153846,37.0,147.923076923,1.53846153846
0.1,0.6,0.1,40,0.568839467553,0.566473183719,0.84897294362,5.69230769231,37.0,147.923076923,1.53846153846
0.2,0.6,0.2,40,0.443249039538,0.4417494219,0.792349011996,6.0,37.0,147.923076923,1.53846153846
