0,P,0.42211340090520094
8,9,P,0.2059878821575265
10,P,0.061305916980160996
7,8,P,0.051496970525915
9,13,P,0.05149697044158615
9,12,P,0.05149697044158615
6,8,P,0.03051672328610381
8,11,P,0.030516723256845433
2,P,0.014888334211192093
7,12,P,0.012874242636367137
7,13,P,0.012874242636367016
11,13,P,0.007629178391655499
6,13,P,0.007629177593612197
11,12,P,0.007629177593612197
6,12,P,0.0076291774925790245
9,14,P,0.004886170533100629
5,P,0.004400554622424878
3,P,0.0036960541537987717
1,8,P,0.00334857034100898
4,P,0.00314821815583048
7,14,P,0.0012224492655455853
1,13,P,8.420549442743279E-4
1,12,P,8.420549440477693E-4
11,14,P,7.244143805269656E-4
6,14,P,7.244143805269031E-4
1,14,P,7.99557286044878E-5
