0,P,0.9980224857377615
13,P,4.103715602642251E-4
8,P,2.5388467685653887E-4
18,P,2.5388467685653887E-4
14,19,P,2.346052708825364E-4
14,24,P,1.5391780184900483E-4
7,14,P,1.1890302638819946E-4
14,28,P,1.1359362832552714E-4
14,25,P,9.235471066983112E-5
14,15,P,9.235471066978225E-5
14,29,P,4.836392081740412E-5
32,P,3.220339136888587E-5
4,P,2.4840318621104767E-5
12,P,2.484031862110476E-5
21,P,1.9467948561273902E-5
1,P,1.94679485612739E-5
23,P,1.5473446028847946E-5
10,P,1.5473446028847946E-5
30,P,1.2453590567597704E-5
22,P,1.2453590567597704E-5
5,P,1.0136213395642796E-5
16,P,1.0136213395642796E-5
11,P,8.333852940620568E-6
