0,P,0.7504599938732699
2,4,P,0.07504599966441744
4,13,P,0.018761499880475287
2,8,P,0.018761499880475287
2,6,P,0.018761499880475287
3,P,0.01647100128896448
1,P,0.016471001254856378
7,P,0.011390722678827568
10,P,0.011390722678827568
4,12,P,0.011117925866838293
4,11,P,0.011117925866838293
2,9,P,0.007915007759184365
2,5,P,0.007915007759175747
8,13,P,0.004690374979580148
6,13,P,0.004690374979580148
6,11,P,0.002779481469061974
8,12,P,0.0027794814690619706
6,12,P,0.0027794814690619706
8,11,P,0.002779481469061969
5,13,P,0.0019607579159829484
9,13,P,0.0019607579159829054
