0,2,P,0.9888943688451878
2,6,P,0.011000118999717949
1,3,4,P,4.4244932162411556E-5
0,4,P,4.392518192999206E-5
3,4,5,P,1.1089204010153267E-5
3,4,6,P,2.5115443626436597E-6
1,4,6,P,2.509816609311464E-6
4,5,6,P,7.428703510244253E-7
4,6,P,4.886056687445101E-7
