0,P,0.9965658444676967
7,P,0.0017230582696113445
8,P,5.646117336235069E-4
12,P,5.646117336235069E-4
1,3,P,1.633714508318026E-4
2,P,1.3711772846899945E-4
10,P,1.3711772846899945E-4
6,P,8.216182026887766E-5
3,9,P,2.4203177902887258E-5
1,5,P,2.420317776353418E-5
1,11,P,5.646117268600473E-6
5,9,P,3.5856559844658853E-6
1,13,14,P,1.6337145078436701E-6
4,9,P,1.5126986184112163E-6
9,11,P,8.364618280228619E-7
9,13,14,P,2.42031778822261E-7
1,4,14,P,2.42031753661488E-7
