algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.60075,0.468166666667,7.65,9.95,15.95,1.55,2.0,9.95
randomForest,0,0,10,0.7085,0.53625,5.7,9.95,15.95,1.55,2.0,9.95
0.0,0.6,0.0,10,0.902,0.665,0.65,9.95,15.95,1.55,2.0,9.95
0.1,0.6,0.1,10,0.787,0.586833333333,3.7,9.95,15.95,1.55,2.0,9.95
0.2,0.6,0.2,10,0.7345,0.583333333333,5.9,9.95,15.95,1.55,2.0,9.95
uniform,0,0,20,0.545833333333,0.323041666667,15.2,20.5,34.6,2.3,3.95,20.5
randomForest,0,0,20,0.623916666667,0.422166666667,12.2,20.5,34.6,2.3,3.95,20.5
0.0,0.6,0.0,20,0.89725,0.498208333333,0.95,20.5,34.6,2.3,3.95,20.5
0.1,0.6,0.1,20,0.746166666667,0.435125,8.35,20.5,34.6,2.3,3.95,20.5
0.2,0.6,0.2,20,0.649833333333,0.416041666667,14.5,20.5,34.6,2.3,3.95,20.5
uniform,0,0,30,0.503666666667,0.267708333333,23.6,30.85,52.8,2.7,4.0,30.85
randomForest,0,0,30,0.663083333333,0.384291666667,13.5,30.85,52.8,2.7,4.0,30.85
0.0,0.6,0.0,30,0.86025,0.422625,1.65,30.85,52.8,2.7,4.0,30.85
0.1,0.6,0.1,30,0.733,0.376166666667,13.2,30.85,52.8,2.7,4.0,30.85
0.2,0.6,0.2,30,0.580583333333,0.332208333333,23.25,30.85,52.8,2.7,4.0,30.85
uniform,0,0,40,0.544,0.2955,26.15,37.85,57.6,2.7,5.95,37.85
randomForest,0,0,40,0.699833333333,0.406916666667,12.5,37.85,57.6,2.7,5.95,37.85
0.0,0.6,0.0,40,0.8935,0.459916666667,3.4,37.85,57.6,2.7,5.95,37.85
0.1,0.6,0.1,40,0.7335,0.395833333333,13.45,37.85,57.6,2.7,5.95,37.85
0.2,0.6,0.2,40,0.6245,0.358958333333,26.65,37.85,57.6,2.7,5.95,37.85
