algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.10975,0.09175,0.9,1.5,15.95,1.55,0.3,1.5
randomForest,0,0,10,0.32325,0.2455,0.8,3.85,15.95,1.55,0.8,3.85
0.0,0.6,0.0,10,0.8525,0.6435,0.2,9.4,15.95,1.55,1.9,9.4
0.1,0.6,0.1,10,0.721,0.5455,2.95,9.0,15.95,1.55,1.8,9.0
0.2,0.6,0.2,10,0.455,0.38325,2.7,5.95,15.95,1.55,1.2,5.95
uniform,0,0,20,0.0789166666667,0.05875,1.1,3.05,34.6,2.3,0.6,3.05
randomForest,0,0,20,0.21275,0.168666666667,0.75,6.15,34.6,2.3,1.2,6.15
0.0,0.6,0.0,20,0.8485,0.481958333333,0.1,19.45,34.6,2.3,3.75,19.45
0.1,0.6,0.1,20,0.582333333333,0.35925,4.25,15.45,34.6,2.3,3.0,15.45
0.2,0.6,0.2,20,0.183083333333,0.16625,2.15,5.2,34.6,2.3,1.0,5.2
uniform,0,0,30,0.112833333333,0.071,0.95,4.6,52.8,2.7,0.6,4.6
randomForest,0,0,30,0.483833333333,0.284125,4.15,20.1,52.8,2.7,2.6,20.1
0.0,0.6,0.0,30,0.81125,0.401875,0.3,29.3,52.8,2.7,3.8,29.3
0.1,0.6,0.1,30,0.588583333333,0.303916666667,6.55,23.2,52.8,2.7,3.0,23.2
0.2,0.6,0.2,30,0.1875,0.124333333333,3.1,7.7,52.8,2.7,1.0,7.7
uniform,0,0,40,0.148666666667,0.0898333333333,1.7,7.35,57.6,2.7,1.2,7.35
randomForest,0,0,40,0.5365,0.32075,4.85,27.0,57.6,2.7,4.15,27.0
0.0,0.6,0.0,40,0.809,0.421916666667,0.25,34.15,57.6,2.7,5.4,34.15
0.1,0.6,0.1,40,0.58825,0.325291666667,5.8,28.75,57.6,2.7,4.5,28.75
0.2,0.6,0.2,40,0.231916666667,0.148208333333,4.2,11.25,57.6,2.7,1.8,11.25
