0,P,0.6499959685444756
2,3,P,0.046991511997786506
4,P,0.03315097808550651
18,P,0.03315097808550651
11,P,0.03315097808550651
7,P,0.013985568971991475
6,P,0.013985568971991475
1,P,0.013985568971991475
3,21,P,0.011747877997811837
3,20,P,0.011747877997811837
3,16,P,0.011747877997811837
3,15,P,0.011747877997811837
2,19,P,0.011747877977136785
2,17,P,0.011747877977136785
2,13,P,0.011747877977136785
5,P,0.007733460249273338
10,P,0.007733460249273338
2,8,P,0.006961705475288197
9,P,0.0049112560686398595
14,P,0.0049112560686398595
12,P,0.0049112560686398595
17,20,P,0.0029369695002088164
13,15,P,0.0029369695002088164
16,19,P,0.002936969500208778
19,21,P,0.0029369695002087136
19,20,P,0.0029369695002087136
17,21,P,0.0029369695002087136
13,21,P,0.0029369695002087136
13,20,P,0.0029369695002087136
13,16,P,0.0029369695002087136
16,17,P,0.0029369695002081082
15,19,P,0.0029369695002081082
15,17,P,0.0029369695002081082
8,15,P,0.0017404263603570198
8,16,P,0.0017404260805321953
8,20,P,0.0017404259578619634
8,21,P,0.0017404257815775337
