13,P,0.19417920748219283
8,12,P,0.18411065607717975
2,12,P,0.04602766402335451
4,12,P,0.04602750147382418
21,P,0.028767289973605267
12,23,P,0.027275652754292695
12,42,P,0.027275652748747607
12,24,P,0.02727565270472428
12,20,P,0.027275652704724252
12,14,P,0.027275652704724252
10,12,P,0.019417920759841504
7,12,P,0.019417920759566037
9,12,P,0.01941792075936736
12,36,P,0.019417920759124057
12,29,P,0.019417920758959723
12,15,P,0.019417920637908336
12,28,P,0.015082344946721065
3,12,P,0.015082344925582532
12,18,P,0.015082344920330736
12,31,P,0.015082344902833878
12,27,P,0.015082344902833878
12,26,P,0.015082344902833878
12,34,P,0.015082344656891945
12,25,P,0.015082344656891945
6,12,P,0.012331657241473358
12,40,P,0.012331657239732383
12,39,P,0.012331657239648396
12,16,P,0.012331657239648396
12,30,P,0.012331657236671149
12,19,P,0.012331657236671149
12,43,P,0.012331657216085819
12,38,P,0.010430380388148475
5,12,P,0.010430380380775497
12,17,P,0.009037437558539411
12,37,P,0.007972898477746487
12,35,P,0.003150436647802843
