2,P,0.5373285307225614
5,P,0.07960422611630796
0,1,P,0.0537328532706526
52,P,0.01857007406408257
0,8,P,0.013433213315793838
0,6,P,0.013433213315793838
0,50,P,0.013433213315793838
0,43,P,0.013433213315793838
0,24,P,0.013433213315793838
0,23,P,0.013433213315793838
0,18,P,0.013433213315793838
0,49,P,0.007960422700046063
0,46,P,0.007960422700046063
0,45,P,0.007960422700046063
0,44,P,0.007960422700046063
0,39,P,0.007960422700046063
0,38,P,0.007960422700046063
0,37,P,0.007960422700046063
0,36,P,0.007960422700046063
0,32,P,0.007960422700046063
0,29,P,0.007960422700046063
0,14,P,0.007960422700046063
0,51,P,0.0056671368611023246
0,40,P,0.0056671368611023246
0,35,P,0.0056671368611023246
0,34,P,0.0056671368611023246
0,31,P,0.0056671368611023246
0,30,P,0.0056671368611023246
0,21,P,0.0056671368611023246
0,15,P,0.0056671368611023246
0,12,P,0.0056671368611023246
0,11,P,0.0056671368611023246
0,48,P,0.004401795123494235
0,41,P,0.004401795123494235
0,33,P,0.004401795123494235
0,28,P,0.004401795123494235
0,27,P,0.004401795123494235
0,22,P,0.004401795123494235
0,17,P,0.004401795123494235
0,47,P,0.003599004746258337
0,3,P,0.003599004746258337
0,26,P,0.003599004746258337
0,20,P,0.003599004746258337
0,16,P,0.003599004746258337
0,13,P,0.003599004746258337
0,9,P,0.0030441154718082505
0,42,P,0.0030441154718082505
0,25,P,0.0030441154718082505
0,19,P,0.0030441154718082505
1,4,P,0.002637583388295319
0,7,P,0.002637582343385423
0,10,P,0.002637582343385423
