0,1,P,0.39
18,P,0.32
1,28,P,0.04
0,23,22,P,0.04
0,21,25,P,0.04
0,21,24,P,0.04
0,14,P,0.04
19,P,0.02
0,23,25,P,0.02
23,28,P,0.01
21,28,P,0.01
14,28,P,0.01
1,8,P,0.01
0,23,27,P,0.01
0,21,27,P,0.01
0,21,10,P,0.01
8,14,P,0.0
