1,25,P,0.55
0,1,P,0.14
26,25,2,P,0.06
1,19,P,0.06
26,19,P,0.02
26,25,8,P,0.01
26,25,7,P,0.01
26,25,6,P,0.01
26,25,36,P,0.01
26,25,29,P,0.01
26,25,16,P,0.01
26,25,14,P,0.01
26,25,11,P,0.01
26,13,25,P,0.01
0,26,2,P,0.01
0,26,10,P,0.0
