2,P,0.56
0,13,P,0.06
7,P,0.05
0,14,P,0.05
13,5,P,0.04
13,3,P,0.04
1,3,P,0.03
13,9,P,0.02
12,13,P,0.02
0,1,P,0.02
14,3,9,P,0.01
14,3,8,P,0.01
14,3,6,P,0.01
14,11,P,0.01
13,11,P,0.01
13,10,P,0.01
12,8,P,0.01
12,4,P,0.01
12,3,P,0.01
1,8,9,P,0.01
1,11,P,0.01
0,12,P,0.01
1,4,5,P,0.0
