0,P,0.74
2,4,P,0.06
7,P,0.03
3,P,0.03
2,8,P,0.02
2,6,P,0.02
13,4,P,0.02
10,P,0.02
1,P,0.02
2,9,P,0.01
2,5,P,0.01
12,4,P,0.01
11,4,P,0.01
11,6,P,0.0
