0,P,0.7
13,P,0.13
9,16,P,0.01
7,P,0.01
5,P,0.01
17,16,P,0.01
15,16,P,0.01
14,P,0.01
11,4,P,0.01
11,16,P,0.01
10,2,P,0.01
10,16,P,0.01
10,11,P,0.01
1,P,0.0
