0,P,0.71
19,1,P,0.03
19,29,P,0.02
19,2,P,0.02
7,11,1,P,0.01
7,10,1,P,0.01
4,10,1,P,0.01
28,10,1,P,0.01
24,23,1,P,0.01
24,15,1,P,0.01
24,14,1,P,0.01
24,12,1,P,0.01
24,10,1,P,0.01
22,10,1,P,0.01
19,8,P,0.01
18,23,1,P,0.01
18,15,1,P,0.01
18,14,1,P,0.01
18,11,1,P,0.01
13,P,0.0
