0,P,0.73
19,1,P,0.08
7,12,1,P,0.01
7,11,1,P,0.01
7,10,1,P,0.01
4,12,1,P,0.01
22,11,1,P,0.01
22,10,1,P,0.01
19,29,P,0.01
19,2,P,0.01
18,23,1,P,0.01
18,14,1,P,0.01
18,12,1,P,0.01
18,11,1,P,0.01
18,10,1,P,0.01
13,P,0.0
