algorithm,pBug,pValid,times,precision_avg,recall_avg,auc_avg,wasted_avg,tests_avg,files_avg,bugged_avg
uniform,0,0,10,0.594345967579,0.510605387939,0.88375,0.9,9.35,13.3,1.45
randomForest,0,0,10,0.700762035978,0.613681568027,0.818050595238,1.65,9.35,13.3,1.45
0.0,0.6,0.0,10,0.981959449319,0.859262091032,0.989583333333,0.25,9.35,13.3,1.45
0.1,0.6,0.1,10,0.859708085689,0.756783696719,0.989583333333,0.25,9.35,13.3,1.45
0.2,0.6,0.2,10,0.762801433211,0.675114661153,0.977083333333,0.3,9.35,13.3,1.45
uniform,0,0,20,0.617001151577,0.399028709765,0.714193542321,6.4,19.4,31.7,2.4
randomForest,0,0,20,0.729633072073,0.464975596866,0.661144600522,6.95,19.4,31.7,2.4
0.0,0.6,0.0,20,0.930377144379,0.631601650843,0.765374097877,5.95,19.4,31.7,2.4
0.1,0.6,0.1,20,0.838260625058,0.565184496207,0.765374097877,5.95,19.4,31.7,2.4
0.2,0.6,0.2,20,0.757441361867,0.507201947668,0.75495743121,6.0,19.4,31.7,2.4
uniform,0,0,30,0.533927934,0.287513110129,0.565059556126,13.7,27.85,46.25,2.75
randomForest,0,0,30,0.606852857623,0.32541149833,0.529261606391,14.3,27.85,46.25,2.75
0.0,0.6,0.0,30,0.854566332027,0.523168729416,0.62447820692,13.35,27.85,46.25,2.75
0.1,0.6,0.1,30,0.747238784938,0.44044816929,0.61197820692,13.4,27.85,46.25,2.75
0.2,0.6,0.2,30,0.66671167437,0.38779813149,0.607811540253,13.4,27.85,46.25,2.75
uniform,0,0,40,0.539285668164,0.289754171149,0.564358090106,14.35,30.1,48.8,2.75
randomForest,0,0,40,0.61201373573,0.326854511152,0.529586926085,14.9,30.1,48.8,2.75
0.0,0.6,0.0,40,0.85455014197,0.523026719803,0.6237767409,14.0,30.1,48.8,2.75
0.1,0.6,0.1,40,0.749029451915,0.441244221559,0.6112767409,14.05,30.1,48.8,2.75
0.2,0.6,0.2,40,0.669350256789,0.389043374617,0.607110074233,14.05,30.1,48.8,2.75
