algorithm,pBug,pValid,times,index,precision,recall,auc,wasted,tests,files,bugged,bugsIDS,pack
uniform,0,0,10,0,0.623821050521,0.330258203274,0.708333333333,3,11,15,2,5,"""['src\\scratchpad\\testcases\\org\\apache'"
uniform,0,0,10,1,0.314201011549,0.314201011549,1.0,0,11,17,1,5,"""['src\\scratchpad\\src\\org\\apache\\poi\\hwpf\\converter'"
uniform,0,0,10,2,0.33387701226,0.33387701226,0.791666666667,1,11,10,2,5,"""['src\\ooxml\\java\\org\\apache\\poi\\xssf\\streaming'"
uniform,0,0,10,3,0.0986687768742,0.0986687768742,0.666666666667,1,11,14,2,5,"""['src\\java\\org\\apache\\poi\\hssf\\record'"
uniform,0,0,10,4,0.650384726181,0.650384726181,1.0,0,10,10,1,5,"""['src\\scratchpad\\testcases\\org\\apache'"
uniform,0,0,10,5,0.574459647846,0.574459647846,1.0,0,11,19,1,5,"""['src\\java\\org\\apache\\poi\\poifs\\filesystem'"
uniform,0,0,10,6,0.734608046902,0.395268145076,1.0,2,5,11,2,5,"""['src\\ooxml\\java\\org\\apache\\poi\\xwpf\\extractor'"
uniform,0,0,10,7,0.611591905426,0.325776562406,0.633333333333,4,11,17,2,5,"""['src\\scratchpad\\src\\org\\apache\\poi\\hwpf'"
uniform,0,0,10,8,0.253543229389,0.253543229389,0.708333333333,2,11,17,2,5,"""['src\\testcases\\org\\apache\\poi\\ss'"
uniform,0,0,10,9,0.594664543628,0.594664543628,1.0,0,11,19,1,5,"""['src\\scratchpad'"
uniform,0,0,10,10,0.675854998722,0.675854998722,1.0,0,11,17,1,5,"""['src\\scratchpad\\src\\org'"
uniform,0,0,10,11,0.689039679405,0.365211141026,0.708333333333,2,7,15,2,5,"""['src\\scratchpad\\src\\org\\apache\\poi\\hmef'"
uniform,0,0,10,12,0.79519165257,0.79519165257,1.0,0,11,8,1,5,"""['src\\ooxml\\java\\org\\apache\\poi\\xssf'"
uniform,0,0,10,13,0.802568841766,0.802568841766,1.0,0,11,17,2,5,"""['src\\java\\org\\apache\\poi\\ss\\usermodel'"
uniform,0,0,10,14,0.888888888624,0.888888888624,1.0,0,3,4,1,5,"""['src\\scratchpad\\testcases\\org\\apache\\poi\\hmef'"
uniform,0,0,10,15,0.612542430506,0.612542430506,1.0,0,11,19,1,5,"""['src\\ooxml\\testcases\\org\\apache\\poi\\xwpf\\usermodel'"
uniform,0,0,10,16,1.0,1.0,1.0,0,1,1,1,5,"""['src\\ooxml\\testcases\\org\\apache\\poi\\xwpf\\extractor'"
uniform,0,0,10,17,0.0787506827549,0.0787506827549,0.666666666667,2,10,19,1,5,"""['src\\ooxml\\java\\org\\apache\\poi\\xslf'"
uniform,0,0,10,18,0.64650580562,0.64650580562,1.0,0,11,11,1,5,"""['src\\java\\org\\apache\\poi\\poifs\\filesystem'"
uniform,0,0,10,19,0.907756421032,0.475491458712,0.791666666667,1,8,6,2,5,"""['src\\java\\org\\apache\\poi\\ss\\formula\\constant'"
randomForest,0,0,10,0,0.973319173671,0.486689700046,0.577777777778,10,11,15,2,5,"""['src\\scratchpad\\testcases\\org\\apache'"
randomForest,0,0,10,1,0.0879145923667,0.0879145923667,0.75,1,11,17,1,5,"""['src\\scratchpad\\src\\org\\apache\\poi\\hwpf\\converter'"
randomForest,0,0,10,2,0.416918001476,0.416918001476,0.708333333333,2,11,10,2,5,"""['src\\ooxml\\java\\org\\apache\\poi\\xssf\\streaming'"
randomForest,0,0,10,3,0.0109470053118,0.0109470053118,0.541666666667,2,11,14,2,5,"""['src\\java\\org\\apache\\poi\\hssf\\record'"
randomForest,0,0,10,4,0.908652927913,0.908652927913,1.0,0,10,10,1,5,"""['src\\scratchpad\\testcases\\org\\apache'"
randomForest,0,0,10,5,0.976359458595,0.976359458595,1.0,0,11,19,1,5,"""['src\\java\\org\\apache\\poi\\poifs\\filesystem'"
randomForest,0,0,10,6,0.0433580273252,0.0270863373234,0.404761904762,5,5,11,2,5,"""['src\\ooxml\\java\\org\\apache\\poi\\xwpf\\extractor'"
randomForest,0,0,10,7,0.99481576957,0.497442310616,0.586805555556,7,11,17,2,5,"""['src\\scratchpad\\src\\org\\apache\\poi\\hwpf'"
randomForest,0,0,10,8,0.87155654759,0.87155654759,1.0,0,11,17,2,5,"""['src\\testcases\\org\\apache\\poi\\ss'"
randomForest,0,0,10,9,0.978932146101,0.978932146101,1.0,0,11,19,1,5,"""['src\\scratchpad'"
