110,P,0.34
24,2,P,0.28
0,119,P,0.07
24,119,P,0.05
78,2,P,0.04
5,119,P,0.03
94,119,P,0.01
82,119,P,0.01
78,119,P,0.01
54,119,P,0.01
36,119,P,0.01
34,119,P,0.01
24,89,P,0.01
24,80,P,0.01
24,111,P,0.01
141,119,P,0.01
116,119,P,0.01
111,119,P,0.01
10,P,0.0
